full_item,stage1_code,stage2_code,combined_target,combine_text,category_stage1,category_stage2,category_combined
"SCOPE OF WORK DESCRIPTION: Proposal for supply and erection of aluminum gang forming system for elevated slab construction at level 2 through roof. Includes form stripping, cleaning, and concrete surface patching.",03,10,03 10,scope work description proposal supply erection aluminum gang form system elevated slab construction level roof include form strip cleaning concrete surface patching,category_stage1_01,category_stage2_002,category_stage1_01__category_stage2_002
VENDOR SUBMITTAL: Proposal for supply and installation of glass mat gypsum sheathing for exterior for interior partitions and ceilings throughout building. Corner bead at all exposed edges and reveals.,09,20,09 20,vendor submittal proposal supply installation glass mat gypsum sheathe exterior interior partition ceiling build corner bead expose edge reveal,category_stage1_05,category_stage2_003,category_stage1_05__category_stage2_003
Request for approval: fluid-applied rubberized asphalt waterproofing for use for occupied basement and parking levels. 10-year manufacturer warranty on waterproofing system. per manufacturer installation guidelines.,07,10,07 10,request approval fluid apply rubberize asphalt waterproof use occupy basement parking level year manufacturer warranty waterproofing system manufacturer installation guideline,category_stage1_03,category_stage2_002,category_stage1_03__category_stage2_002
"This submittal covers the supply and placement of fiber-reinforced concrete (FRC) for slab on grade for concrete columns, beams and shear walls. All work to comply with conforming to ASTM C94 ready-mixed concrete standard. Portland cement Type I/II with 3/4 inch maximum aggregate.",03,30,03 30,submittal cover supply placement fiber reinforce concrete frc slab grade concrete column beam shear wall work comply conform astm c ready mixed concrete standard portland cement type ii inch maximum aggregate,category_stage1_01,category_stage2_004,category_stage1_01__category_stage2_004
"Provide all labor, materials and equipment for surge protective device (SPD) panel-mounted for emergency and standby power system. per NEC Article 230 (Services) and 240 (Overcurrent Protection). Equipment to be UL 891 listed and labeled.",26,20,26 20,provide labor material equipment surge protective device spd panel mount emergency standby power system nec article service overcurrent protection equipment ul list label,category_stage1_08,category_stage2_003,category_stage1_08__category_stage2_003
Proposal for supply and installation of stainless steel piping for medical gas for building domestic water distribution system. Piping to be pressure tested at 1.5x operating pressure.,22,10,22 10,proposal supply installation stainless steel piping medical gas build domestic water distribution system piping pressure test x operating pressure,category_stage1_06,category_stage2_002,category_stage1_06__category_stage2_002
"VENDOR SUBMITTAL: Proposal for furnishing and pulling of electrical junction boxes, pull boxes and fittings for electrical raceway and wiring infrastructure. All wiring and raceway per National Electrical Code (NEC).",26,05,26 05,vendor submittal proposal furnish pull electrical junction box pull box fitting electrical raceway wiring infrastructure wiring raceway national electrical code nec,category_stage1_08,category_stage2_001,category_stage1_08__category_stage2_001
RE: Thermal Insulation – supply and installation of foam board insulation for slab edge including all necessary accessories and hardware. conforming to local energy conservation code.,07,20,07 20,thermal insulation supply installation foam board insulation slab edge include necessary accessory hardware conform local energy conservation code,category_stage1_03,category_stage2_003,category_stage1_03__category_stage2_003
Proposal for procurement and installation of carpet tile modular 24x24 with adhesive for gymnasium and multipurpose room. Moisture testing required per ASTM F2170 before installation.,09,60,09 60,proposal procurement installation carpet tile modular x adhesive gymnasium multipurpose room moisture testing require astm f installation,category_stage1_05,category_stage2_007,category_stage1_05__category_stage2_007
"RE: Flooring – Provide all labor, materials and equipment for hardwood oak strip flooring 3/4-inch solid for restrooms and locker rooms. per manufacturer installation instructions. Transition strips at all flooring material changes.",09,60,09 60,floor provide labor material equipment hardwood oak strip floor inch solid restroom locker room manufacturer installation instruction transition strip floor material change,category_stage1_05,category_stage2_007,category_stage1_05__category_stage2_007
BID ITEM: Material submittal for seismic bracing for electrical equipment. All wiring and raceway per National Electrical Code (NEC). Refer to per UL listed materials and components.,26,05,26 05,bid item material submittal seismic bracing electrical equipment wiring raceway national electrical code nec refer ul list material component,category_stage1_08,category_stage2_001,category_stage1_08__category_stage2_001
Furnish and install shaft wall liner and C-H stud system as indicated on drawings and per UL listed assembly design number. Taping and finishing to Level 4 finish per ASTM C840.,09,20,09 20,furnish install shaft wall liner c h stud system indicate drawing ul list assembly design number tap finish level finish astm c,category_stage1_05,category_stage2_003,category_stage1_05__category_stage2_003
